Code,Title,points_r1_2021,points_r1_2020,points_r1_2019
CR365,Environmental Science and Sustainable Technology,262,,334
CR370,Agri-Biosciences,368,,408
CR400,Accounting,315,,316
CR420,Marketing,290,,288
CR425,International Business with Language,279,,300
CR430,Sport and Exercise Management,402,,
CR435,Coaching Science and Sports Pedagogy,410,,
CR440,Montessori Education,409,,
CR500,Engineering (Common Entry),475,,381
CR510,Sustainable Energy Engineering,320,,319
CR520,Biomedical Engineering,444,,434
CR560,Architectural Technology,375,,288
CR565,Interior Architecture,431,,336
CR570,Quantity Surveying,375,,279
CR572,Construction Management,300,,253
CR580,Electrical Engineering,342,,344
CR590,Electronic Engineering,329,,342
CR600,Visual Communications at CIT Crawford College of A,280,+ric,587
CR660,Tourism Management,246,,249
CR700,Theatre and Drama Studies at CIT Cork School of Mu,609,,768
CR930,Home Economics and Business,518,,
CK101,Arts - 3 years,300,,300
CK102,Social Science,434,,391
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339,,340
CK105,Film and Screen Media - 3 years or 4 years (Intern,421,,397
CK107,Geographical and Archaeological Sciences - 3 or 4,312,,326
CK108,Arts International - 4 years,440,,429
CK109,English - 3 years or 4 years (International Pathwa,367,,347
CK110,World Languages,488,,456
CK111,Early Years and Childhood Studies,409,,398
CK112,Theatre and Perforive Practices - 3 or 4 years,371,,324
CK113,Criminology - 3 years or 4 years (International Pa,464,,408
CK114,Social Science (Youth and Community Work),,,
CK115,Social Work - Mature Applicants only,,,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347,,307
CK120,Applied Psychology,544,,506
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499,,393
CK122,Government and Political Science,399,,355
CK123,Anthropology,308,,
CK124,Education - Gaeilge,473,,
CK125,Sports Studies and Physical Education,564,,
CK201,Commerce,500,,465
CK202,Accounting,553,,467
CK203,Business Inforion Systems,455,,409
CK204,Finance,566,,531
CK205,Commerce (International) with French,465,,409
CK206,Commerce (International) with German,466,,408
CK207,Commerce (International) with Italian,423,,408
CK208,Commerce (International) with Hispanic Studies,488,,431
CK209,Commerce (International) with Irish,507,,509
CK211,Commerce (International) with Chinese Studies,385,,398
CK212,Economics (through Transforional Learning) 3 or,445,,400
CK213,Food Marketing and Entrepreneurship,466,,
CK214,International Development,332,,
CK301,Law (Pathways) -  3 or 4 years,533,,476
CK302,Law and French,545,,453
CK304,Law and Irish,588,,462
CK307,Law and Business,589,,522
CK401,Computer Science,503,,402
CK402,Biological and Chemical Sciences,555,,498
CK404,Biological  Earth and Environmental Sciences,500,,412
CK405,Genetics,543,,476
CK406,Chemical Sciences,532,,457
CK407,Matheical Sciences,566,,531
CK408,Physics and Astrophysics,566,,511
CK409,Industrial Physics - Offered jointly by UCC and CI,465,,413
CK411,Data Science and Analytics,531,,509
CK412,Agricultural Science,506,,457
CK504,Nutritional Sciences,555,,492
CK505,Food Science,463,,444
CK600,Engineering,510,,465
CK606,Architecture - Offered jointly by UCC and CIT,543,,465
CK701,Medicine (Undergraduate Entry - HPAT required),738,,729
CK702,Dentistry,625,,590
CK703,Pharmacy,613,,577
CK704,Occupational Therapy,601,,532
CK705,Speech and Language Therapy,568,,509
CK706,Public Health Sciences,500,,419
CK707,Medical and Health Sciences,578,,510
CK710,General Nursing,498,,440
CK712,Children`s and General Nursing (Integrated),565,,499
CK720,Mental Health Nursing,455,,398
CK730,Intellectual Disability Nursing,431,,359
CK740,Midwifery,509,,444
CK791,Medicine  - Graduate Entry (GAMSAT required),60,,58
AC120,International Business,294,,234
AC137,Liberal Arts,271,,252
CT125,Computing and IT,242,,235
CT325,Business,253,,
CM001,Education - Primary Teaching,508,,452
CM002,Education - Primary Teaching - Gaeltacht Applicant,462,,421
CM003,Oideachas � Bunmh�inteoireacht Tr� Mhe�n na Gaeilg,513,,491
CM004,Oideachas - Bunmh�inteoireacht Tr� Mhe�n na Gaeilg,480,,492
CM010,Education Studies,382,,317
CM020,Early Childhood Education,317,,336
DB500,Computing,234,,242
DB501,Computing (Cloud Computing),,,326
DB502,Computing (Data Analytics and Big Data),267,,269
DB503,Computing (Software Development),,,242
DB504,Computing (Web and Mobile Technology),,,227
DB510,Audio Production and Music Project Management,217,,233
DB512,Business Studies,243,,229
DB514,Business Studies (Law),239,,269
DB515,Business Studies (Human Resource Management),242,,225
DB517,Marketing (Event Management),233,,226
DB518,Marketing (Digital Media),307,,210
DB521,Accounting and Finance,243,,225
DB524,Business (Inforion Systems),247,,402
DB525,Marketing (Digital Media and Cloud Computing),288,,284
DB526,Business (Cloud Computing),244,,253
DB527,Applied Social Care,254,,235
DB531,Marketing,288,,220
DB562,Psychology,244,,208
DB566,Social Science,262,,216
DB567,Film and Creative Media,245,,192
DB568,Law,254,,245
DB569,Business (Psychology),240,,279
DC001,Education - Early Childhood Education,445,,398
DC002,Education - Primary Teaching,518,,462
DC003,Education - Primary Teaching - Gaeltacht Applicant,489,,433
DC004,Education - Primary Teaching (Church of Ireland Ce,451,,357
DC009,Arts (Joint Honours) - Humanities,356,,347
DC010,Post Primary Teacher Education - Religious Educati,384,,386
DC011,Post Primary Teacher Education - Religious Educati,409,,352
DC012,Post Primary Teacher Education - Religious Educati,409,,367
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413,,410
DC014,BA in Jazz and Contemporary Music Performance (aud,311,,428
DC110,Business Studies International,498,,440
DC111,Business Studies,511,,463
DC112,Global Business (France),542,,495
DC113,Global Business (Germany),484,,440
DC114,Global Business (Spain),544,,501
DC115,Accounting and Finance,544,,487
DC116,Global Business (USA),613,,578
DC117,Aviation Management / Aviation Management with Pil,484,,463
DC118,Gn� agus Gaeilge / Business and Irish,368,,357
DC119,Global Business (Canada),601,,566
DC120,Computing for Business,403,,350
DC121,Computer Science,475,,370
DC123,Data Science,501,,467
DC126,Actuarial Matheics,577,,520
DC127,Common Entry into Actuarial and Financial Mathe,541,,509
DC131,Communication Studies,421,,400
DC132,Journalism,452,,401
DC133,Multimedia,435,,403
DC155,Applied Language and Translation Studies,427,,371
DC161,Analytical Science,498,,446
DC162,Chemical and Pharmaceutical Sciences,531,,488
DC163,Chemical Sciences General Entry (Undenominated Ent,466,,
DC166,Environmental Science and Technology,423,,412
DC168,Genetics and Cell Biology,543,,489
DC175,Physics General Entry (options),400,,
DC180,Biological Sciences General Entry (Undenominated E,530,,
DC181,Biotechnology,530,,476
DC190,Electronic and Computer Engineering (with choice o,488,,391
DC193,Mechatronic Engineering,490,,404
DC194,Sustainable Systems and Energy,476,,
DC195,Mechanical and Manufacturing Engineering,500,,401
DC197,Biomedical Engineering,510,,402
DC200,Common Entry into Engineering (Undenominated Entry,511,,381
DC202,Sport Science and Health,511,,467
DC203,Science Education,462,,424
DC204,Athletic Therapy and Training,558,,484
DC205,Physical Education with Biology,565,,490
DC206,Physical Education with Matheics,521,,443
DC207,Psychology and Matheics,521,,
DC208,Psychology,565,,509
DC209,Health and Society,477,,419
DC210,Psychology and Disruptive Technologies,506,,
DC215,General Nursing,456,,414
DC216,Mental Health Nursing,420,,368
DC217,Intellectual Disability Nursing,382,,347
DC218,Children`s and General Nursing (Integrated),521,,467
DC230,Economics  Politics and Law,431,,400
DC231,International Relations,398,,387
DC232,Law and Society (BCL),469,,453
DC235,Education and Training - Daytime and Flexible Deli,302,,307
DC238,Social Sciences and Cultural Innovation,387,,358
DC240,Marketing  Innovation and Technology,499,,451
DC241,Digital Business and Innovation,509,,
DC291,Arts (Joint Honours) - Media Studies,350,,349
DC292,Arts (Joint Honours) - Law,400,,356
DC293,Arts (Joint Honours) - International Languages,379,,369
DC294,Clie and Environmental Sustainability,475,,
DC295,Arts (Joint Honours) - Politics,349,,348
DL822,Arts Management,254,,209
DL823,Business Management,220,,260
DL825,Applied Psychology,418,,349
DL826,Graphic Design,591,,736
DL827,Art,574,,583
DL832,Aniion,989,,855
DL833,Photography and Visual Media,671,,636
DL836,Creative Computing,235,,217
DL837,New Media Studies,298,,290
DL838,Creative Music Production,713,,746
DL839,Interaction and User Experience Design,757,,
DL840,Digital Marketing,210,,
DL841,English and Equality Studies,277,,
DL843,Film,987,,
DL844,Television,566,,
DL845,Design for Film (degree options),628,,
GC200,Business,269,,269
GC201,Accounting and Finance,260,,251
GC230,Computing Science,300,,228
GC300,Business,264,,251
GC301,Accounting and Finance,,,307
GC302,Business - HRM,377,,269
GC307,Business (Marketing),289,,
GC400,Business,250,,246
GC401,Accounting and Finance,242,,181
GC402,Business (HRM),,,217
GC403,Law,245,,225
GC407,Business (Marketing),264,,246
GC430,Computing Science,251,,217
GC450,Communications and Media Production,225,,227
GC462,Design Communication (portfolio),300,,
GC489,Interior Architecture (portfolio),288,,267
GC494,Fashion Design (portfolio),351,,
BY001,Business,210,,
ID001,Accounting and Finance,,,229
ID002,Business Studies,,,285
AD101,First Year Art and Design (Common Entry portfolio),554,+ric,
AD102,Graphic Design and Moving Image Design (portfolio),538,+ric,
AD103,Textile and Surface Design and Jewellery and Objec,505,+ric,
AD202,Education and Design or Fine Art (Second Level Tea,591,+ric,
AD204,Fine Art (portfolio),514,+ric,
AD211,Fashion Design (portfolio),760,+ric,
AD212,Product Design (portfolio),413,+ric,
AD215,Visual Culture,337,,300
AD217,Illustration (portfolio),738,+ric,
AD222,Interaction Design (portfolio),444,+ric,
NC003,Computing (Degree Award options),271,,261
NC005,Human Resource Management,301,,297
NC009,Business,300,,297
NC010,Psychology,420,,366
NC020,Marketing Practice,270,,270
NC022,Accounting and Finance,330,,338
NC023,Technology Management (with specialisations),266,,260
NC030,Early Childhood Education and Care,251,,
RC001,Medicine - Undergraduate Entry (HPAT required),741,,729
RC004,Physiotherapy,589,,532
RC005,Pharmacy,613,,555
RC101,Medicine - Graduate Entry (GAMSAT required),,,60
NM801,Montessori Education,262,,
NM802,Psychology,228,,
TU801,Sustainable Energy Engineering,235,,
TU802,Electrical Services and Energy Management,309,,
TU804,Engineering (Common Entry with Award options),270,,
TU805,Engineering (General Entry),466,,
TU807,Computer Engineering in Mobile Systems,274,,
TU810,Mechatronic Engineering,271,,
TU811,Product Design,440,,
TU812,Design Technology and Innovation,278,,
TU814,Sustainable Transport Management,253,,
TU828,Mechanical Engineering (General Entry),300,,
TU829,Electronic Engineering (General Entry),248,,
TU831,Architectural Technology,423,,
TU832,Architecture (Suitability Test and Interview),644,,
TU833,Construction Management,396,,
TU834,Geographic Science,315,,
TU835,Planning and Environmental Management,330,,
TU836,Property Economics (Valuation Surveying),411,,
TU837,Quantity Surveying and Construction Economics,413,,
TU838,Sustainable Timber Technology,307,,
TU851,Analytical Chemistry (Environmental  Forensic and,400,,
TU852,Chemical Sciences with Medicinal Chemistry,477,,
TU854,Science (General Entry),510,,
TU855,Science with Nanotechnology,322,,
TU856,Computer Science,499,,
TU857,Computer Science (Infrastructure),403,,
TU858,Computer Science (International),395,,
TU859,Computing,251,,
TU860,Computing (Inforion Technology),270,,
TU861,Computing with Language (French/German/Spanish),235,,
TU862,Computing with Artificial Intelligence Machine Lea,262,,
TU863,Digital Forensics and Cyber Security,282,,
TU864,DNA and Forensic Analysis,500,,
TU865,Cloud Computing,235,,
TU866,Biomedical and Molecular Diagnostics,522,,
TU867,Biomedical Science,576,,
TU868,Clinical Measurement Science,542,,
TU869,Environmental Health,387,,
TU870,Human Nutrition and Dietetics,601,,
TU871,Optometry,532,,
TU872,Public Health Nutrition,487,,
TU874,Matheical Sciences,294,,
TU875,Pharmaceutical Healthcare,451,,
TU876,Pharmaceutical Science,445,,
TU877,Physics Technology,314,,
TU878,Physics with Energy and Environment,339,,
TU879,Physics with Medical Physics and Bioengineering,346,,
TU880,Physics with Data Science,412,,
TU881,Food Innovation,309,,
TU882,Nutraceuticals in Health and Nutrition,380,,
TU902,Business (options),270,,
TU903,Business and Management,477,,
TU904,Business and Law,462,,
TU905,Economics and Finance,460,,
TU906,Human Resource Management,386,,
TU907,Logistics and Supply Chain Management,300,,
TU910,Accounting,420,,
TU912,Business Analytics,331,,
TU914,Business Computing,322,,
TU917,Law (LLB ) with a Language,356,,
TU918,Law (LLB),463,,
TU919,Advertising and Marketing Communications,219,,
TU920,Digital Marketing,270,,
TU921,Digital Marketing Technologies,230,,
TU922,Marketing,412,,
TU924,E-Commerce in Retailing,307,,
TU925,Retail and Services Management,307,,
TU932,Business (options),211,,
TU933,Accounting and Finance (campus options),251,,
TU935,Sports Management and Coaching,300,,
TU936,Sports Science and Health,484,,
TU941,Botanical Cuisine,311,,
TU942,Culinary Arts,252,,
TU943,Culinary Entrepreneurship,261,,
TU944,Culinary Science,336,,
TU951,International Hospitality and Tourism Management,244,,
TU952,International Hospitality Management,309,,
TU953,Tourism and Digital Marketing,308,,
TU954,Event Management,326,,
TU955,Sports and Leisure Management,275,,
TU961,Commercial Modern Music (BIMM - assessment/auditio,536,,
TU962,Drama (Performance  audition),448,,
TU963,Music (audition),364,,
TU965,International Business and Languages,357,,
TU967,Languages and International Tourism,298,,
TU973,Design - Visual Communication (portfolio),700,,
TU974,Fine Art (portfolio),549,,
TU975,Interior Design (portfolio),544,,
TU976,Photography (portfolio),700,,
TU978,Creative Industries and Visual Culture,299,,
TU981,Creative Digital Media,280,,
TU982,Media Production and Digital Arts,369,,
TU983,Film and Broadcasting,462,,
TU984,Game Design,414,,
TU985,Journalism,367,,
TU989,Early Childhood Care and Education (campus options,270,,
TU991,Applied Social Studies in Social Care,326,,
TU992,Community Development and Youth Work,251,,
TU995,Early Childhood Education,378,,
TU996,Social Care,407,,
TU997,Applied Social Care,320,,
TR002,Music,508,,414
TR003,History,552,,486
TR004,Law,590,,532
TR005,Philosophy,510,,391
TR006,Psychology,601,,555
TR007,Clinical Speech and Language Studies,564,,499
TR009,Music Education,496,,430
TR015,Philosophy  Political Science  Economics and Socio,613,,566
TR016,Deaf Studies,389,,337
TR018,Law and French,602,,532
TR019,Law and German,577,,523
TR021,Classics  Ancient History and Archaeology,467,,377
TR022,Early and Modern Irish,377,,347
TR023,English Studies,546,,463
TR024,European Studies,566,,520
TR025,Drama and Theatre Studies,543,,489
TR028,Ancient and Medieval History and Culture,498,,339
TR031,Matheics,579,,566
TR032,Engineering,556,,487
TR033,Computer Science,566,,465
TR034,Management Science and Inforion Systems Studies,625,,589
TR035,Theoretical Physics,590,,554
TR038,Engineering with Management,589,,499
TR039,Computer Science  Linguistics and a Language,443,,435
TR040,Middle Eastern and European Languages and Cultures,520,,485
TR041,Religion,417,,347
TR042,Film,531,,
TR043,History of Art and Architecture,498,,
TR051,Medicine (HPAT required),743,,730
TR052,Dental Science,625,,590
TR053,Physiotherapy,590,,533
TR054,Occupational Therapy,578,,500
TR055,Radiation Therapy,577,,510
TR056,Human Health and Disease,601,,543
TR060,Biological and Biomedical Sciences,578,,510
TR061,Chemical Sciences,558,,488
TR062,Geography and Geoscience,495,,435
TR063,Physical Sciences,554,,498
TR064,Environmental Science and Engineering,555,,
TR072,Pharmacy,613,,555
TR080,Global Business,613,,565
TR081,Business  Economic and Social Studies (BESS),577,,518
TR084,Social Studies (Social Work),497,,420
TR085,Business Studies and French,564,,509
TR086,Business Studies and German,530,,474
TR087,Business Studies and Russian,487,,467
TR089,Business Studies and Polish,391,,393
TR090,Business Studies and Spanish,566,,510
TR091,General Nursing (Meath and St James`s),462,,393
TR093,General Nursing (Adelaide School of Nursing),473,,378
TR095,Mental Health Nursing,442,,358
TR097,Intellectual Disability Nursing,412,,346
TR911,Children`s and General Nursing (Integrated),531,,476
TR913,Midwifery,521,,423
DN100,Architecture,555,,473
DN120,Landscape Architecture,463,,353
DN130,City Planning and Environmental Policy,445,,367
DN150,Engineering (Common Entry),565,,511
DN200,Science (options),577,,521
DN201,Computer Science (Common Entry),554,,488
DN230,Actuarial and Financial Studies,613,,577
DN240,Sustainability,510,,
DN250,Agricultural Science (options),454,,420
DN261,Food Science,531,,434
DN262,Human Nutrition,566,,493
DN300,Veterinary Medicine - Undergraduate Entry,601,,567
DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,,
DN310,Veterinary Nursing,521,,441
DN400,Medicine - Undergraduate Entry (HPAT required),743,,735
DN401,Medicine - Graduate Entry (GAMSAT required),61,,59
DN410,Radiography,566,,507
DN411,Radiography - Graduate Entry,,,
DN420,Physiotherapy,601,,542
DN425,Health and Performance Science,544,,488
DN430,Sport and Exercise Management,484,,436
DN440,Biomedical  Health and Life Sciences,613,,565
DN450,General Nursing,462,,398
DN451,Children`s and General Nursing (Integrated),533,,462
DN452,Midwifery,510,,409
DN453,Mental Health Nursing,442,,379
DN520,Joint Honours (options),381,,336
DN530,Humanities (options),397,,348
DN541,Modern Languages (options),320,,348
DN600,Law (options),576,,520
DN610,Business and Law,573,,521
DN650,Commerce,555,,498
DN660,Commerce International (options),555,,507
DN670,Economics and Finance,625,,601
DN700,Social Sciences (options),475,,388
DN710,Economics,534,,476
DN720,Psychology,566,,517
DN750,Social Policy and Sociology,421,,330
DK810,Accounting and Finance,307,,306
DK816,Business Studies,301,,300
DK820,Computing in Games Development,309,,307
DK821,Computing in Software Development,320,,301
DK822,Augmented and Virtual Reality,320,,
DK830,Building Surveying,305,,302
DK831,Architectural Technology,368,,301
DK832,Construction Management,358,,300
DK843,Engineering (Common Entry),404,,303
DK844,Mechanical Engineering,336,,
DK845,Electrical and Electronic Engineering,331,,
DK846,Civil Engineering,371,,
DK850,International Tourism Management,303,,
DK861,Arts,302,,300
DK862,Social Care,322,,300
DK863,Creative Media,336,,300
DK864,Film and Television Production,308,,300
DK865,Audio and Music Production,352,,301
DK870,General Nursing,440,,392
DK872,Intellectual Disability Nursing,367,,300
DK874,Mental Health Nursing,398,,356
DK876,Early Childhood Studies,300,,305
DK877,Midwifery,482,,398
DK880,Health and Physical Activity,301,,300
DK882,Agriculture (Award options),342,,303
DK883,Science (Award options),373,,300
DK884,Sustainable Agriculture,348,,
DK885,Agri-Food Production,,,
DK886,Biopharmaceutical Science,379,,
DK887,Environmental Science,377,,
GA181,Accounting,303,,303
GA182,Business,285,,290
GA183,Business Inforion Systems,298,,309
GA184,Marketing and Sales,300,,307
GA185,Finance and Economics,318,,307
GA186,Business with Entrepreneurship,287,,297
GA187,Rural Enterprise and Agri-Business,291,,280
GA281,Film and Documentary,310,,287
GA282,Heritage Studies,252,,238
GA283,Contemporary Art (portfolio),790,,260
GA284,Design,331,,309
GA285,Education (Art  Design and Graphics),406,,
GA380,International Hotel Management,218,,225
GA381,International Tourism Management,252,,261
GA382,Culinary and Gastronomic Science,235,,225
GA384,Event Management with Public Relations,230,,209
GA480,Construction Management,302,,260
GA482,Quantity Surveying and Construction Economics,304,,280
GA483,Architectural Technology,281,,251
GA484,Civil Engineering,377,,270
GA580,Software and Electronic Engineering,300,,301
GA680,Mechanical Engineering,400,,336
GA681,Energy Engineering,312,,281
GA682,Biomedical Engineering,331,,331
GA683,Agricultural Engineering,304,,301
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413,,346
GA685,Manufacturing Engineering Design,336,,
GA780,Applied Freshwater and Marine Biology,366,,300
GA781,Applied Biology and Biopharmaceutical Science,381,,317
GA782,Chemical and Pharmaceutical Science,356,,307
GA783,Physics and Instrumentation,301,,373
GA784,Science (Undenominated),445,,327
GA785,Medical Science,517,,451
GA786,Forensic Science and Analysis,408,,300
GA787,Computing in Software Development,310,,275
GA788,Computing and Digital Media,270,,270
GA789,Agriculture and Environmental Management,340,,297
GA790,Sport and Exercise Science,376,,350
GA791,Public Health Nutrition,368,,364
GA880,General Nursing,440,,389
GA882,Psychiatric Nursing,369,,346
GA885,Outdoor Education,269,,210
GA887,History and Geography,201,,228
GA889,Applied Social Care,265,,260
GA890,Early Childhood Education and Care,281,,278
GA891,Geography and Outdoor Education,261,,
GA892,Community Development and Youth Work (Level 8),,,
GA980,Education (Design Graphics and Construction),410,,376
GA981,Furniture Design and Manufacture,346,,271
GA982,Furniture Making and Architectural Woodworking,360,,270
GA983,Furniture and Digital Manufacturing,,,
GA984,Furniture Design  Making and Technology - Common E,486,,
GY101,Arts (Joint-Honours),327,,300
GY104,BSc (Psychology),564,,507
GY105,Arts (History),357,,318
GY109,Arts (Matheics and Education),413,,411
GY110,Arts (Children and Youth Studies - options),387,,382
GY111,Arts (English and Creative Writing),421,,402
GY113,Arts with Human Rights,413,,338
GY115,Arts with Performing Arts Studies,300,,328
GY118,Arts (Drama  Theatre and Performance Studies),453,,410
GY119,Arts (Journalism),484,,410
GY122,Na D�na (Cumars�id agus Gaeilge),410,,308
GY123,Applied Social Sciences,419,,357
GY125,Arts (Digital Arts and Technology),403,,324
GY127,Arts (Film and Digital Media),430,,387
GY128,Arts (Global Languages),346,,370
GY129,Arts (Global Experience),465,,408
GY130,Arts (Music),462,,400
GY132,Government (Politics  Economics and Law),465,,402
GY133,Education (Computer Science and Matheical Studi,454,,401
GY134,Geography and Geosystems,425,,
GY135,Arts (Global Media),442,,
GY136,Na D�na (L�ann Teanga - options),526,,
GY201,Commerce,476,,420
GY202,Commerce (International) with French,520,,484
GY203,Commerce (International) with German,518,,489
GY204,Commerce (International) with Spanish,506,,484
GY206,Business Inforion Systems (Work Placement and O,509,,431
GY207,Commerce (Accounting) including optional Global Ex,543,,486
GY208,Commerce (Gaeilge),508,,473
GY209,Commerce (Global Experience),551,,509
GY250,Law and Business,510,,436
GY251,Law (BCL),542,,473
GY252,Law (BCL) and Human Rights,565,,510
GY253,Law and Taxation,506,,
GY254,Law (BCL)  Criminology and Criminal Justice,548,,
GY261,Business Studies in International Hotel Management,503,,486
GY262,Commerce in International Hotel Management (interv,709,,671
GY301,Science,489,,400
GY303,Biomedical Science,613,,533
GY304,Biotechnology,498,,473
GY308,Environmental Science,431,,413
GY309,Financial Matheics and Economics,509,,454
GY310,Marine Science,467,,409
GY313,Environmental Health and Safety,412,,402
GY314,Earth and Ocean Sciences,422,,402
GY318,Biopharmaceutical Chemistry,555,,510
GY319,Matheical Science,543,,456
GY320,Physics (Degree options: Applied Astrophysics Biom,465,,401
GY321,Genetics and Genomics,532,,
GY322,Agricultural Sciences,485,,
GY350,Computer Science and Inforion Technology,495,,425
GY401,Engineering (Undenominated),522,,444
GY402,Civil Engineering,533,,509
GY405,Mechanical Engineering,541,,443
GY406,Electronic and Computer Engineering,555,,509
GY408,Biomedical Engineering,554,,519
GY410,Project and Construction Management,431,,434
GY413,Energy Systems Engineering,509,,532
GY414,Electrical and Electronic Engineering,433,,454
GY501,Medicine (five year/six year course  HPAT required,737,,726
GY502,Occupational Therapy,601,,532
GY503,Speech and Language Therapy,578,,529
GY504,Podiatric Medicine,531,,434
GY515,General Nursing (Galway and Portiuncula),502,,442
GY516,Mental Health Nursing,475,,388
GY517,Midwifery,520,,429
LY108,Business - Accounting,312,,318
LY118,Business,288,,287
LY128,Marketing with Online Technologies,261,,
LY208,Law,300,,300
LY228,Sports and Exercise - Common Entry,290,,278
LY408,Design - Common Entry,301,,307
LY508,Fire Safety Engineering,283,,270
LY518,Quantity Surveying,304,,307
LY528,Construction Management,262,,267
LY538,Architectural Technology,234,,
LY608,Mechanical Engineering,300,,304
LY618,Electronic Engineering,321,,307
LY708,Applied Computing,320,,300
LY748,Computer Science,316,,
LY818,Science - Common Entry,302,,302
LY828,Agriculture - Common Entry,308,,300
LY908,General Nursing,429,,383
LY918,Psychiatric Nursing,367,,291
LY928,Intellectual Disability Nursing,357,,288
LY968,Early Childhood Care  Health and Education,288,,300
LY978,Health and Social Care - Common Entry,279,,260
MI001,Contemporary and Applied Theatre Studies,209,,345
MI002,Arts,280,,300
MI004,Education - Primary Teaching - International,589,,
MI005,Education - Primary Teaching,522,,473
MI006,Education - Primary Teaching - Gaeltacht Applicant,485,,442
MI007,Early Childhood Care and Education,409,,366
MI008,Education and Psychology - Primary Teaching,590,,543
MI009,Education  Business Studies and Accounting,434,,392
MI010,Education  Business Studies and Religious Studies,370,,326
MI011,Education  Gaeilge and Religious Studies,407,,377
MI012,Education  Gaeilge and Business Studies,387,,398
MI013,Education  Matheics and Gaeilge,509,,433
